EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111448) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  2759,111448,20150101,   39,    0
  2759,111448,20150102,   54,    0
  2759,111448,20150103,   48,    0
  2759,111448,20150104,   36,    0
  2759,111448,20150105,   34,    0
  2759,111448,20150106,   10,    0
  2759,111448,20150107,   22,    0
  2759,111448,20150108,   36,    0
  2759,111448,20150109,   64,    0
  2759,111448,20150110,   88,    0
  2759,111448,20150111,   37,    0
  2759,111448,20150112,   58,    0
  2759,111448,20150113,  100,    0
  2759,111448,20150114,   63,    0
  2759,111448,20150115,   51,    0
  2759,111448,20150116,   79,    0
  2759,111448,20150117,   37,    0
  2759,111448,20150118,    4,    0
  2759,111448,20150119,   -4,    0
  2759,111448,20150120,   10,    0
  2759,111448,20150121,    8,    0
  2759,111448,20150122,   -3,    0
  2759,111448,20150123,    3,    0
  2759,111448,20150124,   -1,    0
  2759,111448,20150125,   12,    0
  2759,111448,20150126,   24,    0
  2759,111448,20150127,   35,    0
  2759,111448,20150128,   33,    0
  2759,111448,20150129,   23,    0
  2759,111448,20150130,   10,    0
  2759,111448,20150131,    5,    0
  2759,111448,20150201,   11,    0
  2759,111448,20150202,   11,    0
  2759,111448,20150203,    2,    0
  2759,111448,20150204,   -9,    0
  2759,111448,20150205,  -12,    0
  2759,111448,20150206,  -34,    0
  2759,111448,20150207,   -9,    0
  2759,111448,20150208,   18,    0
  2759,111448,20150209,   42,    0
  2759,111448,20150210,   53,    0
  2759,111448,20150211,   51,    0
  2759,111448,20150212,   11,    0
  2759,111448,20150213,   12,    0
  2759,111448,20150214,   11,    0
  2759,111448,20150215,   24,    0
  2759,111448,20150216,    5,    0
  2759,111448,20150217,   13,    0
  2759,111448,20150218,   35,    0
  2759,111448,20150219,   28,    0
  2759,111448,20150220,   35,    0
  2759,111448,20150221,   59,    0
  2759,111448,20150222,   21,    0
  2759,111448,20150223,   20,    0
  2759,111448,20150224,   40,    0
  2759,111448,20150225,   32,    0
  2759,111448,20150226,   32,    0
  2759,111448,20150227,   43,    0
  2759,111448,20150228,   41,    0
  2759,111448,20150301,   38,    0
  2759,111448,20150302,   54,    0
  2759,111448,20150303,   47,    0
  2759,111448,20150304,   36,    0
  2759,111448,20150305,   39,    0
  2759,111448,20150306,   47,    0
  2759,111448,20150307,   79,    0
