EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111449) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
  2759,111449,20150101,   23,    0
  2759,111449,20150102,   30,    0
  2759,111449,20150103,   34,    0
  2759,111449,20150104,   16,    0
  2759,111449,20150105,   21,    0
  2759,111449,20150106,   -6,    0
  2759,111449,20150107,   -8,    0
  2759,111449,20150108,    7,    0
  2759,111449,20150109,   51,    0
  2759,111449,20150110,   51,    0
  2759,111449,20150111,   19,    0
  2759,111449,20150112,   37,    0
  2759,111449,20150113,   77,    0
  2759,111449,20150114,   38,    0
  2759,111449,20150115,    8,    0
  2759,111449,20150116,   53,    0
  2759,111449,20150117,  -11,    0
  2759,111449,20150118,  -23,    0
  2759,111449,20150119,  -37,    0
  2759,111449,20150120,    6,    0
  2759,111449,20150121,  -13,    0
  2759,111449,20150122,  -21,    0
  2759,111449,20150123,   -3,    0
  2759,111449,20150124,  -13,    0
  2759,111449,20150125,    5,    0
  2759,111449,20150126,    8,    0
  2759,111449,20150127,    4,    0
  2759,111449,20150128,    5,    0
  2759,111449,20150129,    3,    0
  2759,111449,20150130,    2,    0
  2759,111449,20150131,   -5,    0
  2759,111449,20150201,   -8,    0
  2759,111449,20150202,   -5,    0
  2759,111449,20150203,  -15,    0
  2759,111449,20150204,  -20,    0
  2759,111449,20150205,  -33,    0
  2759,111449,20150206,  -50,    0
  2759,111449,20150207,  -56,    0
  2759,111449,20150208,   -3,    0
  2759,111449,20150209,    2,    0
  2759,111449,20150210,   49,    0
  2759,111449,20150211,   32,    0
  2759,111449,20150212,  -27,    0
  2759,111449,20150213,  -28,    0
  2759,111449,20150214,  -29,    0
  2759,111449,20150215,  -20,    0
  2759,111449,20150216,  -16,    0
  2759,111449,20150217,  -27,    0
  2759,111449,20150218,   12,    0
  2759,111449,20150219,   -4,    0
  2759,111449,20150220,  -27,    0
  2759,111449,20150221,   16,    0
  2759,111449,20150222,   -7,    0
  2759,111449,20150223,  -11,    0
  2759,111449,20150224,    5,    0
  2759,111449,20150225,  -12,    0
  2759,111449,20150226,  -29,    0
  2759,111449,20150227,  -13,    0
  2759,111449,20150228,    1,    0
  2759,111449,20150301,   -3,    0
  2759,111449,20150302,   11,    0
  2759,111449,20150303,   16,    0
  2759,111449,20150304,   10,    0
  2759,111449,20150305,   20,    0
  2759,111449,20150306,    6,    0
  2759,111449,20150307,   35,    0
  2759,111449,20150308,   54,    0
  2759,111449,20150309,   53,    0
  2759,111449,20150310,   25,    0
  2759,111449,20150311,   21,    0
  2759,111449,20150312,   -1,    0
  2759,111449,20150313,  -22,    0
  2759,111449,20150314,   28,    0
  2759,111449,20150315,   40,    0
  2759,111449,20150316,   38,    0
  2759,111449,20150317,   60,    0
  2759,111449,20150318,   33,    0
  2759,111449,20150319,   14,    0
  2759,111449,20150320,   -9,    0
  2759,111449,20150321,    7,    0
  2759,111449,20150322,  -19,    0
  2759,111449,20150323,   -9,    0
  2759,111449,20150324,   31,    0
  2759,111449,20150325,   14,    0
  2759,111449,20150326,   61,    0
  2759,111449,20150327,   58,    0
  2759,111449,20150328,   59,    0
  2759,111449,20150329,   59,    0
  2759,111449,20150330,   40,    0
  2759,111449,20150331,    5,    0
  2759,111449,20150401,   23,    0
  2759,111449,20150402,    8,    0
  2759,111449,20150403,   16,    0
  2759,111449,20150404,    1,    0
  2759,111449,20150405,  -11,    0
  2759,111449,20150406,   14,    0
  2759,111449,20150407,   -5,    0
  2759,111449,20150408,   57,    0
  2759,111449,20150409,   29,    0
  2759,111449,20150410,   45,    0
  2759,111449,20150411,   85,    0
  2759,111449,20150412,   60,    0
  2759,111449,20150413,   47,    0
  2759,111449,20150414,   26,    0
  2759,111449,20150415,  104,    0
  2759,111449,20150416,   55,    0
  2759,111449,20150417,   39,    0
  2759,111449,20150418,   10,    0
  2759,111449,20150419,   20,    0
  2759,111449,20150420,   43,    0
  2759,111449,20150421,   62,    0
  2759,111449,20150422,   56,    0
  2759,111449,20150423,   39,    0
  2759,111449,20150424,   63,    0
  2759,111449,20150425,   92,    0
  2759,111449,20150426,   84,    0
  2759,111449,20150427,   70,    0
  2759,111449,20150428,   53,    0
  2759,111449,20150429,   30,    0
  2759,111449,20150430,   58,    0
  2759,111449,20150501,   53,    0
  2759,111449,20150502,   35,    0
  2759,111449,20150503,   31,    0
  2759,111449,20150504,  136,    0
  2759,111449,20150505,  139,    0
  2759,111449,20150506,   94,    0
  2759,111449,20150507,   78,    0
  2759,111449,20150508,   66,    0
  2759,111449,20150509,  113,    0
  2759,111449,20150510,   64,    0
  2759,111449,20150511,   41,    0
  2759,111449,20150512,  100,    0
  2759,111449,20150513,   82,    0
  2759,111449,20150514,   61,    0
  2759,111449,20150515,   45,    0
  2759,111449,20150516,   54,    0
  2759,111449,20150517,   69,    0
  2759,111449,20150518,   68,    0
  2759,111449,20150519,   99,    0
  2759,111449,20150520,   86,    0
  2759,111449,20150521,   72,    0
  2759,111449,20150522,   62,    0
  2759,111449,20150523,   85,    0
  2759,111449,20150524,   60,    0
  2759,111449,20150525,  103,    0
  2759,111449,20150526,   90,    0
  2759,111449,20150527,   69,    0
  2759,111449,20150528,   70,    0
