EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111450) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2759,111450,20150101,   60,    0
  2759,111450,20150102,   82,    0
  2759,111450,20150103,   59,    0
  2759,111450,20150104,   50,    0
  2759,111450,20150105,   40,    0
  2759,111450,20150106,   35,    0
  2759,111450,20150107,   58,    0
  2759,111450,20150108,   69,    0
  2759,111450,20150109,   94,    0
  2759,111450,20150110,  129,    0
  2759,111450,20150111,   51,    0
  2759,111450,20150112,   77,    0
  2759,111450,20150113,  124,    0
  2759,111450,20150114,   80,    0
  2759,111450,20150115,  100,    0
  2759,111450,20150116,  100,    0
  2759,111450,20150117,   55,    0
  2759,111450,20150118,   40,    0
  2759,111450,20150119,   14,    0
  2759,111450,20150120,   19,    0
  2759,111450,20150121,   16,    0
  2759,111450,20150122,    7,    0
  2759,111450,20150123,   13,    0
  2759,111450,20150124,   10,    0
  2759,111450,20150125,   17,    0
  2759,111450,20150126,   47,    0
  2759,111450,20150127,   46,    0
  2759,111450,20150128,   56,    0
  2759,111450,20150129,   40,    0
  2759,111450,20150130,   21,    0
  2759,111450,20150131,   12,    0
  2759,111450,20150201,   37,    0
  2759,111450,20150202,   27,    0
  2759,111450,20150203,   15,    0
  2759,111450,20150204,    0,    0
  2759,111450,20150205,   14,    0
  2759,111450,20150206,  -20,    0
  2759,111450,20150207,   37,    0
  2759,111450,20150208,   37,    0
  2759,111450,20150209,   58,    0
  2759,111450,20150210,   59,    0
  2759,111450,20150211,   59,    0
  2759,111450,20150212,   41,    0
  2759,111450,20150213,   66,    0
  2759,111450,20150214,   67,    0
  2759,111450,20150215,   80,    0
  2759,111450,20150216,   26,    0
  2759,111450,20150217,   66,    0
  2759,111450,20150218,   81,    0
  2759,111450,20150219,   77,    0
  2759,111450,20150220,  101,    0
  2759,111450,20150221,  113,    0
  2759,111450,20150222,   50,    0
  2759,111450,20150223,   53,    0
  2759,111450,20150224,   77,    0
  2759,111450,20150225,   83,    0
  2759,111450,20150226,   96,    0
  2759,111450,20150227,  108,    0
  2759,111450,20150228,   75,    0
  2759,111450,20150301,   79,    0
  2759,111450,20150302,   81,    0
  2759,111450,20150303,   81,    0
  2759,111450,20150304,   64,    0
  2759,111450,20150305,   67,    0
  2759,111450,20150306,   79,    0
  2759,111450,20150307,  124,    0
  2759,111450,20150308,  168,    0
  2759,111450,20150309,  136,    0
  2759,111450,20150310,  134,    0
  2759,111450,20150311,   76,    0
  2759,111450,20150312,   47,    0
  2759,111450,20150313,   64,    0
  2759,111450,20150314,   60,    0
  2759,111450,20150315,   79,    0
  2759,111450,20150316,  119,    0
  2759,111450,20150317,  170,    0
  2759,111450,20150318,  144,    0
  2759,111450,20150319,  127,    0
  2759,111450,20150320,  133,    0
  2759,111450,20150321,   56,    0
  2759,111450,20150322,   47,    0
  2759,111450,20150323,  122,    0
  2759,111450,20150324,  138,    0
  2759,111450,20150325,  160,    0
  2759,111450,20150326,  112,    0
  2759,111450,20150327,  111,    0
  2759,111450,20150328,   96,    0
  2759,111450,20150329,  132,    0
  2759,111450,20150330,   86,    0
  2759,111450,20150331,  116,    0
  2759,111450,20150401,   84,    0
  2759,111450,20150402,   77,    0
  2759,111450,20150403,   97,    0
  2759,111450,20150404,  104,    0
  2759,111450,20150405,  103,    0
  2759,111450,20150406,   92,    0
  2759,111450,20150407,  127,    0
  2759,111450,20150408,  104,    0
  2759,111450,20150409,  164,    0
  2759,111450,20150410,  205,    0
  2759,111450,20150411,  226,    0
  2759,111450,20150412,  152,    0
  2759,111450,20150413,  129,    0
  2759,111450,20150414,  151,    0
  2759,111450,20150415,  231,    0
  2759,111450,20150416,  144,    0
  2759,111450,20150417,  119,    0
  2759,111450,20150418,  120,    0
  2759,111450,20150419,  153,    0
  2759,111450,20150420,  181,    0
  2759,111450,20150421,  213,    0
  2759,111450,20150422,  137,    0
  2759,111450,20150423,  190,    0
  2759,111450,20150424,  211,    0
  2759,111450,20150425,  234,    0
  2759,111450,20150426,  185,    0
  2759,111450,20150427,  148,    0
  2759,111450,20150428,  112,    0
  2759,111450,20150429,  142,    0
  2759,111450,20150430,  170,    0
  2759,111450,20150501,  145,    0
